Product,Category,Price,Quantity,Date
Headphones,Electronics,100,15,2023-07-08
Printer,Electronics,500,7,2023-07-09
Backpack,Accessories,50,25,2023-07-10
Sunglasses,Accessories,80,20,2023-07-11
Monitor,Electronics,700,10,2023-07-12
Shoes,Clothing,70,30,2023-07-13
Keyboard,Electronics,120,12,2023-07-14
Hat,Accessories,25,40,2023-07-15
Chair,Furniture,200,5,2023-07-16
Book,Books,20,100,2023-07-17
Microphone,Electronics,90,18,2023-07-18
Guitar,Musical Instruments,300,4,2023-07-19
Pants,Clothing,50,35,2023-07-20
Desk,Furniture,250,6,2023-07-21
Perfume,Beauty,45,50,2023-07-22
Mouse,Electronics,40,30,2023-07-23
Bag,Accessories,60,22,2023-07-24
Television,Electronics,1000,3,2023-07-25
Table,Furniture,150,8,2023-07-26
Jacket,Clothing,90,18,2023-07-27
Lamp,Home Decor,30,45,2023-07-28
Speaker,Electronics,80,20,2023-07-29
T-shirt,Clothing,25,50,2023-07-30
Camera,Electronics,700,5,2023-07-31
Watch,Accessories,150,15,2023-08-01
Dress,Clothing,65,25,2023-08-02
Vase,Home Decor,40,30,2023-08-03
Printer,Electronics,300,6,2023-08-04
Sneakers,Shoes,90,15,2023-08-05
Wallet,Accessories,35,30,2023-08-06
Chair,Furniture,120,10,2023-08-07
Pencil,Stationery,2,200,2023-08-08
Sofa,Furniture,800,2,2023-08-09
Scarf,Accessories,20,40,2023-08-10
Tablet,Electronics,250,4,2023-08-11
Tie,Accessories,30,35,2023-08-12
Bookshelf,Furniture,180,4,2023-08-13
Earrings,Accessories,50,18,2023-08-14
Gloves,Accessories,15,50,2023-08-15
Clock,Home Decor,25,30,2023-08-16
Keyboard,Electronics,80,10,2023-08-17
Table,Furniture,120,6,2023-08-18
Basketball,Sports,20,40,2023-08-19
Jacket,Clothing,75,22,2023-08-20
Bike,Sports,350,2,2023-08-21
Lamp,Home Decor,40,25,2023-08-22
Headphones,Electronics,120,12,2023-08-23
Tennis Racket,Sports,100,5,2023-08-24
Shirt,Clothing,30,30,2023-08-25
Printer,Electronics,250,4,2023-08-26
Basket,Accessories,20,40,2023-08-27
Sofa,Furniture,700,3,2023-08-28
Watch,Accessories,100,10,2023-08-29
Dress,Clothing,55,20,2023-08-30
Desk,Furniture,150,8,2023-08-31
Book,Books,18,80,2023-09-01
Keyboard,Electronics,60,18,2023-09-02
Laptop,Electronics,800,5,2023-09-03
Speaker,Electronics,100,15,2023-09-04
Bag,Accessories,40,25,2023-09-05
Television,Electronics,1200,2,2023-09-06
Shoes,Clothing,60,30,2023-09-07
Hat,Accessories,20,50,2023-09-08
Chair,Furniture,100,7,2023-09
